"","R2c","R2m","deviance","urb.cf","urb.ci_l","urb.ci_u","urb.t","urb.p","gdp.cf","gdp.ci_l","gdp.ci_u","gdp.t","gdp.p"
"feel",0.00541764865355146,0.00294038768733459,-489890.344347661,-0.023951209415393,-0.0385256957303452,-0.00937672310044076,-3.24280123339961,0.00141130672804178,-0.0114929926358096,-0.0265739109009331,0.00358792562931384,-1.50111778703812,0.134619124251694
"family",0.00467104664287771,0.00394379604930609,-312520.851236676,0.0182223216748264,0.0038208605825086,0.0326237827671441,2.48759922614224,0.0132732568663229,0.014083351682239,-0.000962619091294927,0.0291293224557729,1.84442674197585,0.0664272609784928
"body",0.00637685427403638,0.00295838071918519,-446702.840174906,-0.0278880738117794,-0.0429420855251991,-0.0128340620983597,-3.65481234152966,0.00033518309669938,-0.00334934163250209,-0.0187940876330821,0.0120954043680779,-0.426859013257118,0.669805946481606
"affect",0.0339623585679382,0.0144266547447003,-342149.797818336,-0.0875549844498567,-0.111046096699026,-0.0640638722006871,-7.34369614178985,3.56579033475556e-12,-0.0239231496468127,-0.0451802190848086,-0.00266608020881683,-2.21252550880399,0.0274984826700477
"anger",0.0103702196492532,0.000159227609676772,-448425.848800202,-0.0145751578052737,-0.0348295499050942,0.00567923429454678,-1.41846066256525,0.157518087982674,0.0169096816347164,-0.00278862351277211,0.0366079867822049,1.68771450035172,0.0922622708770122
"negemo",0.0217375218823551,0.00571369042692702,-423369.53689233,-0.0698684396642506,-0.0918497408428711,-0.04788713848563,-6.26350932778609,1.88952157744845e-09,-0.00727220866817262,-0.0275283780401329,0.0129839607037877,-0.705785495827633,0.480732243643703
"anx",0.0182870507907699,0.0018886928979859,-500189.017383809,-0.030341907193249,-0.0525952981475203,-0.00808851623897771,-2.68541978047064,0.00773112664338004,-0.000725591285975344,-0.0212258457215968,0.0197746631496461,-0.0695618631711983,0.944573837622753
"discrep",0.0173692024749467,0.0058932787130331,-428537.434824696,-0.0644469256029505,-0.0841447902838998,-0.0447490609220012,-6.44826737603933,7.15397998009387e-10,-0.00383619187418864,-0.0225232420669261,0.0148508583185488,-0.40357353569434,0.686741830945989
"motion",0.0021794549768224,0.000815028123077158,-472002.23041653,0.0160245516944975,0.00330705016320381,0.0287420532257913,2.47900908669529,0.0136897309333109,0.00831330414714523,-0.00498379386197863,0.0216104021562691,1.22969870298818,0.219652046180323
"posemo",0.0270095301938958,0.014908041635833,-410859.224404409,-0.0705502670735782,-0.0905256565819612,-0.0505748775651952,-6.96275265846214,4.27434122532742e-11,-0.0244133346396327,-0.0432507553605884,-0.00557591391867708,-2.54821977600205,0.0112194793915248
"inhib",0.00553136246979412,0.00341043455650932,-507118.873317372,-0.0218738190876464,-0.0356372178898102,-0.00811042028548253,-3.12973060219407,0.00195258191268623,-0.00597308520178388,-0.0202845232282475,0.00833835282467972,-0.821040502188185,0.412217897433665
"leisure",0.0048585836188631,0.00130801997251642,-464027.090574923,-0.0276478963731573,-0.0427198844434023,-0.0125759083029123,-3.62389649599009,0.000393989742522582,-0.00275240840520001,-0.0181818422000367,0.0126770253896367,-0.351399471249027,0.725596215828584
"presentm",0.000434762244333448,0.000196210726323816,-516011.239253959,0.00836340346164735,-0.00331065753849758,0.0200374644617923,1.40701793250536,0.159947810849657,-0.00649049610830407,-0.0185006523798514,0.00551966016324331,-1.06418597543494,0.288238537931428
"swear",0.00488081024580572,0.00153734242309428,-149427.427966067,0.00740875796473614,-0.0165365463769592,0.0313540623064315,0.609085537349699,0.542967861148025,0.0103585334297594,-0.0148501806873406,0.0355672475468595,0.809957578882587,0.418865575880502
"ingest",0.0029965102597186,0.000683896518631503,-317786.56344478,-0.0130243397654293,-0.0287982546108948,0.00274957508003613,-1.62480561652219,0.105243038810723,0.0125529054688953,-0.00385277923065495,0.0289585901684456,1.50476843961258,0.133265921425623
"social",0.00803515003644104,0.00365647984348859,-341883.794564887,-0.0106585945363429,-0.0259819569037129,0.00466476783102716,-1.37202139825358,0.171669764906127,0.00122097882546603,-0.0142932427306577,0.0167352003815897,0.154834435260261,0.877049198434068
"relativ",0.0095706501227882,0.00835747992011831,-352452.473279416,0.0178958314690706,0.00539679150936683,0.0303948714287745,2.81760720914521,0.00515979472862031,-0.00200943709971176,-0.0150816120863306,0.011062737886907,-0.302480700692621,0.762491373885905
"sexual",0.0104430697938913,0.00453108743944193,-376855.530791859,-0.0324648530026112,-0.0508736369262768,-0.0140560690789456,-3.47904271356046,0.000626175505376119,-0.0130310135314725,-0.0316003999372171,0.00553837287427215,-1.38072092863717,0.168346759094019
"funct",0.00651172566988946,0.00153766404296281,-367645.653899779,0.0152119195315195,-0.000581447656957549,0.0310052867199965,1.90233300169149,0.058941534031112,-0.00701386216303519,-0.022889541537317,0.00886181721124663,-0.869748892608283,0.385198266265905
"money",0.0321102757661917,0.0297981662944551,-363033.796806174,0.0230855914574949,0.00802330604162419,0.0381478768733656,3.0141285106114,0.00275997659470658,0.0232505574973888,0.00743699143993528,0.0390641235548423,2.89013244471466,0.0040524947282365
"sad",0.0137062110887244,0.00411596650881747,-453487.903106276,-0.0428852248862828,-0.0622813662224019,-0.0234890835501636,-4.3616311145531,2.12622770344178e-05,-0.0079466004043251,-0.0267146480166657,0.0108214472080155,-0.83279402883447,0.405537413753755
"humans",0.0129878986573099,0.00174717597569157,-448980.133905239,-0.0152069049324635,-0.0348886628282173,0.00447485296329017,-1.5224148960084,0.129288813836675,0.0226242552770732,0.00389989721659164,0.0413486133375549,2.37504554577761,0.0179961225606034
"hear",0.00471448733632781,0.00274570677688731,-444311.029569284,0.00739634979967689,-0.00715663007085764,0.0219493296702114,1.00374892124032,0.317021704453352,0.00390648587865668,-0.0113488382037201,0.0191618099610335,0.505334595379292,0.613949678043041
"space",0.01885793352689,0.0156073062223314,-422903.567682104,0.00366689917058603,-0.0107067208319162,0.0180405191730883,0.502851869299198,0.61558472357928,-0.00670053950752681,-0.0214417666761377,0.00804068766108411,-0.894134455720218,0.371894625870252
"assent",0.020431298512626,0.0102610506724635,-422142.702788611,0.0433239679040323,0.0242666175536683,0.0623813182543963,4.49151532202138,1.39304652536044e-05,0.0119510837071993,-0.00627418411286483,0.0301763515272635,1.29082388008421,0.197831944563072
"work",0.0472161049884643,0.0443697677634819,-418926.856616465,0.0393976855983934,0.0254637075707395,0.0533316636260473,5.56742917958788,6.39417492005039e-08,0.00747746687607262,-0.00687753902571749,0.0218324727778627,1.02410841483437,0.306417395906155
"bio",0.0107783139818548,0.00530922065099766,-372538.11620405,-0.0480888336981646,-0.0642081743002855,-0.0319694930960438,-5.88106359824174,1.58893440659407e-08,-0.000795997963398407,-0.0169162601671435,0.0153242642403467,-0.0970980864493408,0.922701066503089
"cause",0.00845502773891821,0.0030402078084566,-476846.449578357,-0.0251839746764204,-0.0413231923186643,-0.00904475703417647,-3.0788421897128,0.00239986067142752,-0.00911567038284367,-0.0252823958298462,0.00705105506415885,-1.10933951635599,0.268118828756183
"personal_concerns",0.0483495040085243,0.0450996071509978,-366481.250781335,-0.00479356137876616,-0.0190367031056883,0.009449580348156,-0.663923840750352,0.507556189470055,0.00634773199270091,-0.00823880229005764,0.0209342662754594,0.856458952727357,0.392441682877187
"quant",0.00224076207454516,0.000636902511145511,-483949.006761745,-0.0132566449906718,-0.0262515819766881,-0.00026170800465557,-2.0103781308405,0.045599015441997,-0.0135443402127356,-0.0271086062750048,1.99258495336923e-05,-1.96630403490649,0.0503349940595341
"excl",0.0086597173115253,0.00417565570995924,-448292.741824804,-0.0112819201976044,-0.0267133052281242,0.00414946483291545,-1.44187803245076,0.15094002564255,-0.0105351238941232,-0.0261453929894242,0.00507514520117775,-1.32762652226707,0.185220804085236
