"","R2c","R2m","deviance","urb.cf","urb.ci_l","urb.ci_u","urb.t","urb.p","gdp.cf","gdp.ci_l","gdp.ci_u","gdp.t","gdp.p"
"重担",0.0218710624116723,0.00415018289450153,-67453.4448535588,0.0130681635561139,-0.0293035924803927,0.0554399195926205,0.606537699534316,0.544542415682943,-0.0116491685787922,-0.0543586908656386,0.0310603537080542,-0.535810651378331,0.592314229031414
"被",0.00413017096777033,0.00146025634452301,-368191.975070744,0.0233140347752967,0.00656625833415858,0.0400618112164348,2.74460410724744,0.0065960734256578,0.0133105071394351,-0.00432354754208016,0.0309445618209504,1.48755160856988,0.138292612457869
"?",0.0469402658125467,0.0381280234693193,-50400.1100910604,0.0458399242229376,0.0145881081688543,0.0770917402770208,2.8893325202296,0.0042113971770629,0.0169757847681568,-0.0168995133382814,0.050851082874595,0.987959148113833,0.324324965324547
"足够",0.0274123549039448,0.0213801229844793,-44179.3972521974,-0.0085619813055533,-0.0548939807737694,0.0377700181626628,-0.363283027237879,0.716583592042891,0.0361326310237794,-0.0115694856398068,0.0838347476873655,1.4916270448515,0.137023505498131
"这样",0.0058232333128238,0.00458538068705075,-252978.846986766,-0.0143438277573835,-0.0331004177993446,0.00441276228457771,-1.50847451785706,0.133096290407283,0.00679630426422784,-0.012820661122998,0.0264132696514536,0.686462770642618,0.493843072622379
"保持",0.00780529405734647,0.00178967764944514,-116722.250993509,-0.00102541271106486,-0.0317505630696813,0.0296997376475516,-0.0658633000204837,0.947561267549124,0.0134951472150444,-0.0181766575881626,0.0451669520182514,0.840728366183995,0.401605307334915
"坚持",0.0108146972351152,0.00582517929324546,-135404.954598143,-0.00138818030121792,-0.0289645211662534,0.0261881605638175,-0.0998427408516474,0.920664250776291,0.0160047316750118,-0.0130242525640849,0.0450337159141084,1.09557083072066,0.276237602920204
"就是",0.00478276719232118,0.00130274323563109,-330059.700791538,0.00443665170463567,-0.0140620562561978,0.0229353596654692,0.47396647436188,0.636226149553344,0.0121188384639115,-0.00732713201467275,0.0315648089424959,1.23035859916039,0.220289603415094
"保护",0.0124610145872903,0.00253349180875144,-71267.4537965713,0.0391273304454621,3.38071982919389e-06,0.078251280171095,1.97015609953768,0.0499803658224162,0.00347184345940957,-0.0376603205076252,0.0446040074264444,0.166445456749653,0.86797514504177
"因为",0.023543919801765,0.00698797291932081,-265215.83434748,-0.0499897676397768,-0.0765753500534519,-0.0234041852261017,-3.71472292867342,0.000284455060303274,-0.0102020226287983,-0.0364337325039851,0.0160296872463886,-0.765694908024958,0.444525627583123
"居然",0.00572727228988698,0.00334396833204084,-61079.7974890937,0.0368839001635036,-0.000245199314364439,0.0740129996413716,1.95549746246588,0.0515217459071925,-0.0253614911436799,-0.0643677349981759,0.0136447527108161,-1.29182200044428,0.199745996421626
"，",0.0257589073798271,0.00509478608241554,-329540.622962916,-0.0269494587844141,-0.0510871782041542,-0.00281173936467397,-2.20232999025455,0.0288476253965146,-0.0101130034716073,-0.0318556468611311,0.0116296399179165,-0.915032625013061,0.360853049395009
"；",0.0162148765250996,0.00542970907042411,-264278.736993092,-0.0666072486672718,-0.0885469710738006,-0.0446675262607429,-5.99547432478668,1.29522521411481e-08,-0.00665434470809723,-0.0276932547991831,0.0143845653829887,-0.622457587098137,0.534120299769166
"城市",0.00951580520138424,0.00483243211098454,-55864.1556797259,0.0238215574901047,-0.0163264916802773,0.0639696066604867,1.16517464900209,0.244390380163886,0.0349379083495705,-0.00671867201189827,0.0765944887110392,1.64929115090683,0.0999444535737482
"积极",0.0205825334561703,0.00441611520609967,-87038.1501926141,0.002041677957781,-0.036971590155637,0.041054946071199,0.103131723951447,0.917951341999634,0.0393966248990654,-0.00081485128968038,0.0796081010878112,1.9286914665827,0.0547930225669285
"突然",0.015523467699629,0.00846756375874668,-92873.8687592953,0.0171901877395833,-0.0162101012291295,0.0505904767082961,1.01519983954611,0.311300635713559,0.0295391648703637,-0.00602391595890231,0.0651022456996297,1.64141296547948,0.102838131164543
"来",0.00942152976553787,0.00105231975869928,-300794.871061225,0.00637932245853904,-0.0158849559487778,0.0286436008658558,0.565403991048733,0.572506686054843,0.00436517888339619,-0.0183833233024218,0.0271136810692142,0.377730606114729,0.705917445411529
"作为",0.00929905693734023,0.0030787183457785,-85210.1571297312,0.0340905825469911,-0.000877687043723289,0.0690588521377056,1.91766264688566,0.0559995247414507,0.00920168191195224,-0.0275315222319373,0.0459348860558417,0.493383166856622,0.622179161070191
"你",0.0177091121152585,0.00706876223222303,-415232.756743615,-0.0563466714059623,-0.0761416865016838,-0.0365516563102408,-5.61254260791023,6.49342556650775e-08,-0.0133790336914322,-0.0323655447676475,0.00560747738478317,-1.38561282240349,0.16669469901322
"站",0.00788420092576997,0.00378638165476876,-67064.2518909841,0.0387129018810772,0.000850030065840706,0.0765757736963138,2.01024115953971,0.0450978346907057,0.00677838700814099,-0.0327092562758294,0.0462660302921114,0.338498703071517,0.735343542729345
"妈妈",0.00811955058673742,0.00686360775202388,-61477.1971707358,0.0401884527077256,0.00506602181021366,0.0753108836052376,2.24685122933492,0.0249843541777688,-0.0106830924014263,-0.0466628231231046,0.0252966383202519,-0.585089933168164,0.559071833585031
"老",0.0108601386819935,0.00299466798755368,-58689.3945924351,0.0308603292420403,-0.0104308192828206,0.0721514777669012,1.47499017820199,0.142002304090311,-0.00162113033273692,-0.0452856550390472,0.0420433943735734,-0.0735282699410584,0.941511356742476
"可能",0.00998379627460354,0.00259562974693183,-272743.051879268,-0.0209060656427828,-0.0433969592989248,0.00158482801335908,-1.83279229786048,0.0682997261514667,0.00821534813084649,-0.01491301919861,0.031343715460303,0.699002987780532,0.485089980238643
"两个",0.0143513195769416,0.00335075818950288,-115744.54594207,0.0132092902595248,-0.0189563301715845,0.045374910690634,0.813025957007089,0.417801304628299,0.0195177403196568,-0.0145166272615923,0.0535521079009059,1.13434744368976,0.258697604673833
"人格",0.018115205936454,0.00812589289838029,-39814.1282404764,0.0551504553011532,0.0057638810534571,0.104537029548849,2.19730108892852,0.0287395784947937,0.00565854765234078,-0.0454862276725013,0.0568033229771828,0.217983012591409,0.827633903984601
"自己",0.0256167951342736,0.00255035477628139,-422265.929264006,-0.0375613672900585,-0.0636429366833623,-0.0114797978967546,-2.83518139049383,0.00492159863778391,0.0216300064848019,-0.00189458626427634,0.0451545992338802,1.80675029894991,0.0714381829031184
"美国",0.0127100565097485,0.0115764368867066,-100258.634541503,0.0315019976648424,0.00280387136615914,0.0602001239635257,2.15644327798949,0.0315038499042927,0.0182682023680719,-0.0113704452968511,0.0479068500329949,1.21625444392593,0.225485468942329
"她",0.033219788558243,0.00413289729388571,-163643.753953241,-0.0406687677204288,-0.0736569727459616,-0.00768056269489601,-2.4326259307319,0.0159665971928655,-0.023771686436498,-0.0558949754560216,0.00835160258302567,-1.45581557423396,0.146407693396505
"喝",0.0122666009177987,0.00815634447402661,-57632.5397055747,0.030365275305876,-0.00454308803715876,0.0652736386489108,1.70914358737919,0.0880626476178261,-0.00129344793635386,-0.0373475544805627,0.034760658607855,-0.0705779172482146,0.943777260769694
"世界",0.0085242774005351,0.00237748800463078,-192291.683208037,0.00329598414620196,-0.0215919432088179,0.0281839115012218,0.260759517284299,0.794481265932038,-0.00468175505472099,-0.0302564114899411,0.0208929013804991,-0.360041433251732,0.719033471690911
"无",0.00933155514941512,0.00678683769517311,-156085.362148387,0.0264556869466423,0.00254394474931348,0.0503674291439711,2.17482729223882,0.0302073291675657,0.00303039203068534,-0.0220881185612172,0.0281489026225878,0.237514086027963,0.812436762641675
"劳累",0.00791371630228694,0.000353934705246461,-174698.50756758,-0.00345627429017613,-0.0303234071951589,0.0234108586148067,-0.254924142376807,0.799254920620802,0.0157289891170111,-0.0120194594290901,0.0434774376631123,1.12031417140729,0.264426904610686
"与",0.00329000572572202,0.000383782356631927,-333597.458117746,-0.0152967337710363,-0.0332671046863979,0.00267363714432532,-1.6781965615462,0.094821627355623,0.0114304288033374,-0.00728480057813873,0.0301456581848135,1.20311539889485,0.230115126021701
"为",0.00130935280367253,0.000839635554889339,-361322.419973621,0.000604608722194025,-0.0146524767898363,0.0158616942342243,0.0778833467201779,0.93795617495889,0.00164817942335581,-0.0141017982747979,0.0173981571215095,0.206334176827704,0.836736808387247
"而",0.00731961062783666,5.20745835220006e-05,-359712.564032019,-0.00755223514809912,-0.0279192908241249,0.0128148205279267,-0.732575857816512,0.464940691071764,0.00582978115945214,-0.0148492848216931,0.0265088471405973,0.555243154882251,0.579226299785144
"是",0.00263231997702206,7.63474360113741e-05,-498007.653823383,-0.00508046384618645,-0.0191525100396413,0.00899158234726836,-0.713397188296595,0.476714469171027,0.00479578187996899,-0.00976124190860044,0.0193528056685384,0.649462848602086,0.51675159396731
"很大",0.0107401384737882,0.000848011606910529,-159517.84024938,0.0215533880748943,-0.00666235467124168,0.0497691308210303,1.51261766902413,0.133038754107516,0.0092934751924135,-0.0202260048785838,0.0388129552634108,0.621967187665166,0.534889478951664
