"","R2c","R2m","deviance","urb.cf","urb.ci_l","urb.ci_u","urb.t","urb.p","gdp.cf","gdp.ci_l","gdp.ci_u","gdp.t","gdp.p"
"feel",0.127368840083251,0.125392115419748,-481231.752132442,-0.0298760549893437,-0.0433415002191981,-0.0164106097594892,-4.37643570371319,1.98644920216826e-05,-0.011745772697271,-0.025708617971666,0.00221707257712396,-1.65682601902427,0.0988171615631932
"family",0.0525474601865094,0.0514067084173523,-309270.036209039,0.00782338006597942,-0.00670241610957473,0.0223491762415336,1.05951947696757,0.290143301234057,0.00776976830450444,-0.00750440845852858,0.0230439450675375,1.00194364773561,0.317356738828509
"body",0.0964401680509284,0.0926180271268075,-436435.9429156,-0.0342126274252654,-0.0491492586225601,-0.0192759962279708,-4.51738943796549,1.08356533360136e-05,-0.00467915174647755,-0.0198778917294027,0.0105195882364476,-0.605710761590627,0.545139319207438
"affect",0.408717018878729,0.398715156988103,-319504.44764262,-0.0627981148224976,-0.0800916453560089,-0.0455045842889864,-7.15985765733449,1.44680978689378e-11,-0.0118965028623604,-0.0277845368305459,0.00399153110582513,-1.47251423446263,0.141755613944364
"anger",0.157485224080769,0.148963839273482,-438847.858123764,-0.0177217005918274,-0.0363040737942452,0.000860672610590467,-1.87995131205841,0.0614905850938202,0.0149794344834985,-0.00311840380247152,0.0330772727694685,1.62731951919488,0.104480543436449
"negemo",0.368961992504334,0.358922937317441,-403789.733994923,-0.0554723065325195,-0.0729805390306699,-0.0379640740343691,-6.24763116859727,2.45786142726937e-09,-0.00301583373175647,-0.0191858067479941,0.0131541392844812,-0.366791823567185,0.713991407299109
"anx",0.249882634377557,0.236700149985072,-486695.15738717,-0.0272591966110695,-0.0470423302671585,-0.00747606295498044,-2.71383754716844,0.00711592305596095,0.00232810507809655,-0.0158165822724159,0.020472792428609,0.252173577446868,0.801024861536118
"discrep",0.255667863381463,0.248610324211928,-415442.181036657,-0.0547643694030462,-0.0708726525151783,-0.0386560862909141,-6.7021436019568,1.86759227632052e-10,-0.00435888523558381,-0.0198942453786181,0.0111764749074505,-0.551655425472277,0.581504094846962
"motion",0.315421199976407,0.311997782122658,-454586.382694949,0.0074973809953525,-0.00559972811982756,0.0205944901105326,1.1271447713317,0.26070569335488,0.00518798149820707,-0.00800263017213029,0.0183785931685444,0.772926903980219,0.439966999656052
"posemo",0.231079610376058,0.223601267611395,-395524.056161023,-0.0573146885482168,-0.0738011789393526,-0.0408281981570811,-6.8568371206173,9.31384319817687e-11,-0.0166977988850707,-0.0325529115769356,-0.000842686193205733,-2.07119909700376,0.0390626142175238
"inhib",0.226770681465899,0.222806159984163,-493169.516561815,-0.0197557625497486,-0.0340125286058932,-0.00549899649360404,-2.73123267192729,0.00683077019446058,-0.00237864285601417,-0.016745046867504,0.0119877611554757,-0.325574137220236,0.744930323905474
"leisure",0.158860093454341,0.154946668403647,-450279.471968607,-0.028301295441789,-0.0428982600369455,-0.0137043308466324,-3.82450497953039,0.000177755579101406,0.00433789775633382,-0.0104390980442844,0.019114893556952,0.577552896451584,0.56397334880038
"presentm",0.217705288906677,0.21539632070774,-503929.122442742,0.00509839565818222,-0.00775489223293805,0.0179516835493025,0.781466357528124,0.435315008819493,-0.00588245385323369,-0.0191774822597809,0.0074125745533135,-0.870286547756575,0.384756346832549
"swear",0.053201945437434,0.0468726472220655,-147653.877817958,0.00638667811269144,-0.0189537583106604,0.0317271145360433,0.50065997351503,0.617823390161586,-0.000656582720534009,-0.0273392478964592,0.0260260824553912,-0.0488253581291558,0.961156768173727
"ingest",0.0587966113989346,0.0554489001152447,-311903.402772777,-0.0191476384910443,-0.0354485097292311,-0.0028467672528575,-2.31442512780553,0.0215261672809852,0.0110984998683682,-0.00571433952975214,0.0279113392664886,1.29863118371675,0.194987914975644
"social",0.318535284631792,0.31525060535128,-325428.820520493,-0.0151466762920031,-0.0281010336530505,-0.00219231893095571,-2.30493874794978,0.0221468757923984,-0.000374519124228601,-0.0134337711619452,0.012684732913488,-0.0563980965991698,0.955055921514149
"relativ",0.550764228327652,0.544871477023626,-320300.652751729,0.00485679177928466,-0.00902636368128201,0.0187399472398513,0.689154366051144,0.491395336455815,-0.00137412462784848,-0.0144141994222847,0.0116659501665877,-0.207112637698497,0.836019003617711
"sexual",0.0872098036084085,0.0830994283068751,-372295.248449036,-0.033443815289702,-0.0501965971908876,-0.0166910333885165,-3.94279931719703,0.000120578163058895,-0.00953898619012793,-0.0266357155164125,0.00755774313615669,-1.09893525339158,0.27286712385815
"funct",0.470825024367217,0.462370846635292,-342173.078826914,-7.55953189629064e-05,-0.0161889171448622,0.0160377265069364,-0.00924588266799031,0.992631318528618,-0.00214890578651914,-0.0170290126107093,0.0127312010376711,-0.283921388146746,0.776620052874946
"money",0.167043927765366,0.164224680564901,-345562.910843161,0.0226445185259871,0.00793511492407647,0.0373539221278977,3.0288860456617,0.00265698746780295,0.020111734124507,0.00475857200267315,0.0354648962463409,2.57475250811554,0.0103677797839249
"sad",0.124425395062516,0.115098774395163,-444062.756447546,-0.0429404509754711,-0.0617320724006762,-0.0241488295502661,-4.50992811103386,1.18614406256814e-05,-0.00636235535617812,-0.0244173003782126,0.0116925896658564,-0.693280567202396,0.488634395809743
"humans",0.196540191186766,0.187119119649326,-437018.142280501,-0.0257519150562492,-0.0436752874951946,-0.0078285426173038,-2.83161332980538,0.00506094710508986,0.0188356880669093,0.00182618407020501,0.0358451920636137,2.17692683783038,0.0300656268502426
"hear",0.112829864162079,0.110901240216846,-438189.848764058,0.00226152365016555,-0.0116531504758857,0.0161761977762168,0.321212885716517,0.748508677535091,0.000699611602734689,-0.013869662614768,0.0152688858202374,0.0947897313251599,0.924593170097329
"space",0.453033909841671,0.446170915071723,-399238.215803666,-0.000249933336213362,-0.015348740727227,0.0148488740548002,-0.0326149804604378,0.974009862408471,-0.00401472231068844,-0.0182472635666754,0.0102178189452985,-0.55446405336484,0.579556169944202
"assent",0.302498250268946,0.292666035882258,-403689.447040061,0.0177185104595031,-1.13092885635383e-05,0.0354483302075697,1.970994840865,0.050144874200936,0.0052832880853719,-0.0112637937267844,0.0218303698975282,0.627956866320691,0.530440200035145
"work",0.302691326344064,0.296204199426881,-397797.987172443,0.0344173989186,0.0188467872404705,0.0499880105967295,4.35385739452167,1.96748874704021e-05,0.00311586417265851,-0.0119400809269487,0.0181718092722657,0.406715262268016,0.684410866395493
"bio",0.134445160780023,0.128738360279828,-357875.993195221,-0.0524948590015666,-0.0682608314365712,-0.036728886566562,-6.56632402503499,4.48259088028649e-10,-0.000812685828271641,-0.0164046593524188,0.0147792876958755,-0.102506235247315,0.918412641005659
"cause",0.266610553155652,0.260605192980435,-461360.043493647,-0.0265584521462086,-0.0419752664747935,-0.0111416378176236,-3.39825830937565,0.000827585060302166,-0.00598234254157647,-0.0210219215538403,0.00905723647068731,-0.782361751974584,0.434537839929656
"personal_concerns",0.478766687246444,0.473242351728409,-343568.216426915,-0.00191431551908492,-0.0158892357605363,0.0120606047223664,-0.269912543286223,0.787471609394175,0.00578396469342122,-0.00757271180254165,0.0191406411893841,0.851197795987255,0.395145245484248
"quant",0.27307779601785,0.269689173705516,-467527.652144536,-0.0149080450113524,-0.0282246998242298,-0.00159139019847491,-2.20798837538984,0.0284192394753214,-0.0101117234299938,-0.0235623264500037,0.00333887959001616,-1.47887274154012,0.140130343483463
"excl",0.196956328210309,0.192109366801045,-437718.285388337,-0.0128934990470603,-0.0277664376121066,0.00197943951798603,-1.70996577438368,0.0888989000831131,-0.0141468062622234,-0.0289482664821243,0.000654653957677516,-1.87997864120606,0.0609670743983502
"tentat",0.272144001020494,0.26413918495783,-446442.185806062,-0.031774491271885,-0.048491406119459,-0.015057576424311,-3.75093136964618,0.000238266991727187,0.000512364815303508,-0.0154154993243535,0.0164402289549605,0.0632822621478256,0.949580447094783
"achievef",0.326268797360882,0.320163704783827,-421545.512734214,-0.0234406256389472,-0.0386322182030437,-0.00824903307485072,-3.042954392861,0.00266274868017828,-0.00606205907001933,-0.0207564189881417,0.00863230084810304,-0.811284271478527,0.417735909703302
"death",0.128012568925574,0.125074898719393,-282359.810530605,-0.00354827695636667,-0.0212904331280147,0.0141938792152813,-0.395134884442681,0.693299621228464,0.0228336884247521,0.00417620267803364,0.0414911741714706,2.4164812555519,0.0167673363056114
"time",0.365965406776402,0.360700796810958,-397759.429934788,0.0156122229152348,0.00125531201013712,0.0299691338203325,2.14385719605722,0.0332093309351414,-0.00128313651655991,-0.01526195764447,0.0126956846113502,-0.180482159037426,0.85687016377469
