"","R2c","R2m","deviance","urb.cf","urb.ci_l","urb.ci_u","urb.t","urb.p","gdp.cf","gdp.ci_l","gdp.ci_u","gdp.t","gdp.p"
"重担",0.0988863376251486,0.0902120202390845,-66821.9643959027,0.0191097127043677,-0.0188108209712946,0.0570302463800299,0.991955769821528,0.322067934062696,-0.012368008364476,-0.0509852576792486,0.0262492409502966,-0.630023866645791,0.529113527622475
"被",0.132909659955688,0.129235506018028,-360431.68474956,0.0134744527824619,-0.00321535143132846,0.0301642569962523,1.5933452430517,0.112880238882032,0.0099422497683544,-0.00750881438910384,0.0273933139258127,1.12246352555079,0.262820582160735
"?",0.0213096602739886,0.00911676912992618,-53345.0574784842,0.0517587639800091,0.0188391635434049,0.0846783644166133,3.09579986097378,0.0021741663099915,0.018694135583529,-0.0170165204952903,0.0544047916623483,1.03078827267935,0.303592148518615
"足够",0.0825657640664938,0.0714404362639217,-43559.6940263057,-0.00106658140658109,-0.0482960203765049,0.0461628575633427,-0.0445870235270592,0.964490099428668,0.0216905474752456,-0.0272606335914554,0.0706417285419466,0.876012393912569,0.382517701600203
"这样",0.103903566259466,0.0996687797205455,-249387.924354903,-0.0134596071587293,-0.0339835989045553,0.00706438458709666,-1.32224598454233,0.193022581464726,0.00391021695671902,-0.0175498021119507,0.0253702360253887,0.36581534399557,0.716018401079142
"保持",0.135388513430733,0.128943272932984,-113884.003060181,-0.00351174457399071,-0.0328633505939745,0.0258398614459931,-0.236532081066937,0.813363763044782,0.00700931365987028,-0.0231986204861738,0.0372172478059143,0.458266147446381,0.647386401415039
"坚持",0.10324443766795,0.10061655707264,-133515.081807553,-0.003294660287359,-0.0283358606875167,0.0217465401127987,-0.259902007894861,0.79528446635505,0.00550363385744428,-0.0207486287595772,0.0317558964744657,0.415844465740873,0.678400254985953
"就是",0.132565638793483,0.129342669130896,-324333.989630377,-0.0031138910048773,-0.0205168815190922,0.0142890995093376,-0.353305517527038,0.72431400430599,0.00931009642179535,-0.00897248496163112,0.0275926778052218,1.00442968414386,0.316439694543879
"保护",0.142088677786628,0.127664391078879,-69423.2311785805,0.0216442801980669,-0.0170674505494993,0.0603560109456332,1.10350594387988,0.271328739621145,0.0109672084687429,-0.0297411564643372,0.0516755734018231,0.531529503977163,0.595693214152811
"因为",0.100955471379796,0.0857787251768131,-261685.400206183,-0.0439707096199076,-0.0695097258486596,-0.0184316933911556,-3.40765713009703,0.000883476284142662,-0.0058006740389874,-0.0309865717972,0.0193852237192252,-0.453911030843097,0.650341426093709
"居然",0.137444715758752,0.135573305728317,-60157.2469236272,0.0156138784298873,-0.018792044034941,0.0500198008947157,0.89152249036354,0.373059070343308,-0.00224408195010238,-0.0381443834237859,0.0336562195235811,-0.123413468254844,0.901928809209074
"，",0.465004287562804,0.448644078649938,-307657.734039576,-0.0181903296935409,-0.0388408653229323,0.00246020593585053,-1.73642885790715,0.0839484751873789,-0.00437200060410145,-0.0224094562247676,0.0136654550165646,-0.476774030341344,0.633831460419686
"；",0.0903452279961264,0.080978814447637,-258300.153668572,-0.0573083854216438,-0.0780586407687583,-0.0365581300745293,-5.45186982216068,1.73026870077101e-07,-0.00327474925579653,-0.0232635592719804,0.0167140607603874,-0.322347413974687,0.747405027910287
"城市",0.102064222625659,0.0928376969848472,-53631.6365158237,0.0226074501352281,-0.0177194052747465,0.0629343055452027,1.10196150085859,0.271113402874578,0.0296925579843729,-0.0125636924208826,0.0719488083896285,1.38209690280433,0.167840514244859
"积极",0.14780287354408,0.132826271398224,-85163.7416724163,0.00466398041025585,-0.0320527875555073,0.0413807483760191,0.250272046578622,0.802598505716653,0.0228042845667358,-0.0150002813701407,0.0606088505036124,1.18715757526389,0.236121961152628
"突然",0.0955454272591161,0.0903773632053713,-91466.7189492254,0.00620125213003248,-0.0252034428865029,0.0376059471465678,0.389639622715167,0.697263735361207,0.0314827189582679,-0.00188472188916423,0.0648501598057,1.86741185769669,0.0641960544725345
"来",0.132919123549166,0.125127828067397,-294919.713535557,0.00137309272389372,-0.0197230311662133,0.0224692166140007,0.128455685924578,0.897935589142791,0.00424405161510074,-0.0172537061431273,0.0257418093733288,0.388623616711282,0.697851866523253
"作为",0.127545200157075,0.121125374586188,-82865.0195635429,0.0176589123649524,-0.015612540383249,0.0509303651131537,1.04454234956763,0.297089876172037,0.00710254900908176,-0.027906629069649,0.0421117270878125,0.399700006524344,0.68974236132759
"你",0.107130422044481,0.0988725060817451,-407706.207561048,-0.0517969930148758,-0.0698276070243587,-0.0337663790053928,-5.66628057544633,5.29912112331802e-08,-0.0100910530569941,-0.0275900170649448,0.00740791095095663,-1.13416123784456,0.257502178734413
"站",0.132912471183996,0.127368291080334,-65685.9891219082,0.037781088657916,0.0014606172144305,0.0741015601014015,2.04720201741782,0.0415259926870363,-0.00431071687001971,-0.0424803019165635,0.0338588681765241,-0.222820717805763,0.823923016867432
"妈妈",0.0465126704262206,0.0445319583645024,-61118.999693319,0.0297212757143713,-0.00521586630394766,0.0646584177326903,1.67392562889474,0.0951592397483526,-0.0192033424034315,-0.055368783089663,0.0169620982828,-1.05099604795727,0.29530945030482
"老",0.0957104587384292,0.0885310503689863,-57421.165346235,0.0427827010514366,0.00323794582131044,0.0823274562815628,2.13849384959381,0.0341711205253364,-0.0207594882624206,-0.0626112842634618,0.0210923077386207,-0.984725744975003,0.327258933101748
"可能",0.13693114503142,0.132017989289397,-268602.636030062,-0.0144168707232369,-0.0345341795843584,0.00570043813788471,-1.41427881707055,0.159040299854168,0.0105337507320871,-0.0103033557877264,0.0313708572519006,0.995890227734911,0.320316599784342
"两个",0.122984191907354,0.111691463279185,-113360.04785251,0.00921330065375204,-0.0218169896694448,0.0402435909769489,0.589075120374862,0.557140746253485,0.0110107420290788,-0.0217545432598792,0.0437760273180367,0.665558087682369,0.50700934335252
"人格",0.0966334925631862,0.0860745225883039,-39053.6180406833,0.0378857122085578,-0.0100044418445521,0.0857758662616676,1.55887587817883,0.120426350611458,0.00895651561988378,-0.0407105043849187,0.0586235356246862,0.355844858590995,0.722375119656082
"自己",0.117957801484398,0.0953277108718751,-415313.7808927,-0.0405202108808196,-0.0660434719681979,-0.0149969497934413,-3.12547026843381,0.00196693505850455,0.0233054003649325,0.000442795051440082,0.0461680056784249,2.00314765756226,0.0457424113894723
"美国",0.130193382538362,0.127025459380409,-95773.9558935461,0.0212320536219493,-0.00708801919510934,0.049552126439008,1.47513001465489,0.141183968749541,0.0106009051728554,-0.0193246833146716,0.0405264936603823,0.699140319356007,0.485393197822703
"她",0.100377841597931,0.0768444182945349,-162288.926048377,-0.0313792285010733,-0.0619217799876413,-0.000836677014505274,-2.02585372770557,0.0441016815448158,-0.014283244289833,-0.0443305938582861,0.0157641052786202,-0.934830401671863,0.350502978097431
"喝",0.0228610380661063,0.0166317140814137,-57086.2031044405,0.00802952051602726,-0.0276753691030289,0.0437344101350834,0.442274435665522,0.658559711486795,0.0142168004233151,-0.0228149665682747,0.0512485674149048,0.755632800838683,0.450489092395826
"世界",0.11535439185027,0.110783862563811,-189053.771685468,0.00205347815827111,-0.0209479871561431,0.0250549434726853,0.175904116660577,0.860524184830745,-0.00622235277955869,-0.029925508841436,0.0174808032823186,-0.516723874241856,0.605752641192866
