"","R2c","R2m","deviance","urb.cf","urb.ci_l","urb.ci_u","urb.t","urb.p","gdp.cf","gdp.ci_l","gdp.ci_u","gdp.t","gdp.p"
"feel",0.00302129660748199,0.00240990333791225,-484701.462032205,-0.0535520386676307,-0.0992334562404545,-0.00787062109480682,-2.43142574293452,0.0236546620750885,0.0375389373153384,-0.00292891400198642,0.0780067886326632,1.8991818936418,0.0677703085155486
"family",0.00409023054167829,0.00375121161348996,-309357.840358311,-0.0199336068776696,-0.0694958501360882,0.0296286363807491,-0.974413179198061,0.366003432855954,0.0417303557336286,-0.000964477304375549,0.0844251887716328,2.20005810264312,0.0543826743966946
"body",0.00403162089677359,0.0026399384647448,-441830.971619079,-0.049994061730076,-0.109987474751658,0.00999935129150565,-1.742521532414,0.0973551515245472,0.0351811569136535,-0.0167675434290618,0.0871298572563687,1.40422272777573,0.174168494571192
"affect",0.0231865392449514,0.0124799892417609,-337702.493848649,-0.165481291290203,-0.299687248923604,-0.031275333656802,-2.52871172531659,0.017529146324249,0.0743045585824997,-0.0413246442564779,0.189933761421477,1.3195674167509,0.198244655660003
"anger",0.00226877563332911,0.000507756859341979,-443478.817087912,-0.0620605312978856,-0.12901854748343,0.00489748488765854,-1.93635699927499,0.0674278864525464,0.0520203078569606,-0.00589621430739119,0.109936830021312,1.86173503948237,0.075928126475969
"negemo",0.00980306475019507,0.00436620917901465,-418304.71456279,-0.119599622163655,-0.219818479756186,-0.0193807645711242,-2.45395299486291,0.021199166897523,0.0602939162080624,-0.0257335763305433,0.146321408746668,1.441197743213,0.161556680551583
"anx",0.00415683139185856,0.00134698393024029,-494660.369293423,-0.0179701330933028,-0.0944639256207141,0.0585236594341085,-0.483840067793722,0.632711939074998,0.003197216860747,-0.062514592154893,0.068909025876387,0.0999601395367036,0.92113461940689
"discrep",0.0116368799094853,0.00656119153425396,-423736.294862518,-0.142977563856898,-0.24026430584445,-0.0456908218693466,-3.01958907892769,0.00557868095859687,0.0792671209245069,-0.00422688765471973,0.162761129503734,1.95023198028829,0.0618646727171862
"motion",0.00125436326087503,0.000388004235013966,-467004.823532666,-0.00547722806534037,-0.0558977499280307,0.04494329379735,-0.228080369386515,0.822132058081939,0.0152697021790124,-0.0286457443109408,0.0591851486689656,0.721326665831678,0.478345798595875
"posemo",0.0215025107497262,0.0142391110351333,-406037.718366017,-0.144377861355495,-0.257705361648578,-0.0310503610624115,-2.61729670796933,0.0145069433163416,0.0616096103410642,-0.0357987644265457,0.159017985108674,1.30033777841046,0.204937180958273
"inhib",0.00477849417716464,0.00346297179350961,-501748.558717883,-0.0509406329522354,-0.10918094685676,0.00729968095228876,-1.81930005587969,0.0831980714155979,0.0264002591002624,-0.0240614393132309,0.0768619575137556,1.07968487298658,0.290996524555981
"leisure",0.00157815222073788,0.000722023912844368,-459134.209005977,-0.0335443910309995,-0.0852158946083725,0.0181271125463734,-1.38558700598787,0.186441083923859,0.0187218524570427,-0.0262372922960046,0.0636809972100899,0.874816700188942,0.393188479513097
"presentm",0.000337494357857033,0.000337494357857033,-510690.588870189,-0.0288292875165118,-0.0522918425105044,-0.00536673252251913,-2.40832532297055,0.0160287845061611,0.0184648696109474,-0.00499918968061437,0.0419289289025092,1.5424093321124,0.122979245001205
"swear",0.00356821400767815,0.00187592991691368,-148086.907274526,-0.0716572133520286,-0.157289970670697,0.01397554396664,-1.8279733573692,0.093093004958051,0.0558950820415615,-0.0190318265820849,0.130821990665208,1.58232646359463,0.133272592738969
"ingest",0.00231502046307899,0.00108318373575314,-314730.839580993,-0.0611813086706454,-0.121748618417498,-0.000613998923793065,-2.1218808720284,0.0479521174096342,0.0565968189645667,0.00372064160088188,0.109472996328252,2.22073938072907,0.0370569112022611
"social",0.00630331983001496,0.00465200729355257,-338225.646503253,-0.0754850973705531,-0.138236343385557,-0.012733851355549,-2.50079365426193,0.020693405107931,0.0477013447728621,-0.00641772494728491,0.101820414493009,1.8215593119539,0.0813231274958064
"relativ",0.00905377707804824,0.00821484550813132,-348756.125822901,0.00685740904087825,-0.0429635447523446,0.0566783628341011,0.289375723541378,0.775632556681016,0.00388497495059316,-0.0395220982130545,0.0472920481142408,0.185847479730068,0.854303983235483
"sexual",0.00736097022931536,0.00413652320115238,-372234.109322577,-0.0694552223962944,-0.153974656451035,0.0150642116584465,-1.70607083286389,0.102334425257198,0.0324014194845863,-0.040665280308201,0.105468119277374,0.917019555934278,0.368587965157885
"funct",0.00302009908762608,0.00227034922730329,-363721.379783187,-0.070528858838604,-0.118831730842206,-0.022225986835002,-3.08525669064518,0.00683281973640993,0.0515940388479421,0.00943661040223944,0.0937514672936448,2.54910258742193,0.0189021329691692
"money",0.0325491605399004,0.0311284712551327,-359098.107726753,0.0951729898619142,0.0318423413030994,0.158503638420729,3.17324081934694,0.00561697278054493,-0.0410434718442731,-0.0958189994713423,0.013732055782796,-1.56438975086249,0.133624182719611
"sad",0.00844140133839102,0.00521457463198772,-448337.302052806,-0.12258115401203,-0.204322179054855,-0.0408401289692049,-3.0852048952986,0.00484081440259422,0.0731224057467214,0.00274116426230829,0.143503647231134,2.13230398358347,0.0422819742594402
"humans",0.00594293258774613,0.00326152219004781,-444085.805071709,-0.112893881109939,-0.18792039986231,-0.037867362357568,-3.09459520590316,0.0047073032363597,0.0873528991675953,0.0228532235371086,0.151852574798082,2.77800516534478,0.00979622704954333
"hear",0.00354396613386584,0.00284360323372641,-439532.042384057,-0.0217044617215437,-0.0715441074660359,0.0281351840229486,-0.922057549333176,0.369990487763143,0.0279867173197508,-0.0158449666724009,0.0718184013119025,1.3281982471838,0.198430045289754
"space",0.0174644604454107,0.0159269005498495,-418495.203063315,0.0317023617430633,-0.0292143310150855,0.0926190545012121,1.08084704299826,0.291759244044333,-0.0180393519848271,-0.0706238614725723,0.0345451575029182,-0.708075403208218,0.485727245993223
"assent",0.0141063245178805,0.00970013472732873,-417567.607331015,0.0226595217490405,-0.070596880591348,0.115915924089429,0.507754007566719,0.617332909864414,0.0166773897508273,-0.0633261515312108,0.0966809310328654,0.435244607170637,0.668113326885201
"work",0.0452866340036548,0.0436314517374923,-414294.357102676,0.0752601157172421,0.0128106122477818,0.137709619186702,2.50097373492557,0.0204233042279096,-0.0419310409366221,-0.095759656835011,0.0118975749617667,-1.60752735837581,0.120986907658868
"bio",0.00780209178643266,0.0048928047639154,-368598.106155163,-0.0871661393534918,-0.165690526783777,-0.00864175192320638,-2.31603979198088,0.0313274375328238,0.0514840744945982,-0.0159291746712601,0.118897323660456,1.58876332607662,0.127140416898705
"cause",0.0046193778894111,0.0023981136897648,-471760.167803257,-0.0252258345825132,-0.0966844921428059,0.0462328229777796,-0.744845711468109,0.466547663516183,0.00484900085256666,-0.0565323334863591,0.0662303351914924,0.165789229660367,0.870143075746016
"personal_concerns",0.0477755525644422,0.0453610163621489,-362560.872200166,0.0281547311187223,-0.044000828334384,0.100310290571829,0.810193500358927,0.426685370538859,-0.0209882563724939,-0.0829768822868148,0.041000369541827,-0.700640392252057,0.490596533496977
"quant",0.000858767559355969,0.000430069713893374,-478888.676696484,-0.0392896571340067,-0.0804989631158323,0.00191964884781884,-2.03747710026825,0.0601980371266831,0.0215834663567553,-0.0148261966116529,0.0579931293251635,1.23886954173255,0.230150268416564
"excl",0.00831542739589307,0.00571662137719422,-443741.172522535,-0.103156965935572,-0.177412975748816,-0.028900956122327,-2.86778906812518,0.00849737448762255,0.0686267432511507,0.00481182311727764,0.132441663385024,2.21350632785798,0.0360996566824857
"tentat",0.00262331305036194,0.000897820455289853,-455617.399102121,-0.0425400295130669,-0.105728122343476,0.0206480633173425,-1.38531984956369,0.177981292349239,0.0266199206601405,-0.0279082333374329,0.081148074657714,0.999847187652488,0.325917605493453
"achievef",0.0234910768941705,0.0184017171547884,-433285.53683744,-0.053033473211084,-0.150984814590376,0.0449178681682077,-1.11892362766437,0.274519586683256,0.0164250248705355,-0.0676413556640293,0.1004914054051,0.403705672778838,0.690079807754508
"death",0.00333650663276923,0.000770353041621936,-286435.280835523,0.0216014227864812,-0.0623081035806394,0.105510949153602,0.540751121354504,0.595290583827707,0.00531057638261123,-0.0671111279963439,0.0777322807615664,0.152501751711532,0.880248003665748
"time",0.000324108793037711,9.29732854730626e-05,-413668.172879232,0.00689378594353447,-0.0283338357611245,0.0421214076481934,0.419968950879129,0.680922090090839,0.00141004770672925,-0.0302503354736189,0.0330704308870773,0.0928027910386837,0.926968304232601
"incl",0.00287105497812492,0.00168578461680945,-426496.433267795,-0.0137717605240658,-0.069941968890902,0.0423984478427705,-0.514908551986825,0.612849574186611,0.00875257161536594,-0.0398724746988693,0.0573776179296012,0.37444613847881,0.711845350000254
"percept",0.00617728427910115,0.00572227622904982,-461301.022848097,-0.0732721763178664,-0.115493306658716,-0.0310510459770171,-3.7396800271009,0.00237623394667129,0.0379839785880442,0.000827100271628539,0.0751408569044598,2.15100720587512,0.0456148214561057
"insight",0.00504700192448434,0.00262614280383965,-419891.453421811,-0.00717799180089192,-0.0807542922053105,0.0663983086035267,-0.205184824114331,0.839764709643363,0.0280603488618108,-0.0351120752965878,0.0912327730202093,0.930065594947925,0.364072347476832
"futurem",0.00158599220317108,0.000797562483202971,-492106.041622438,-0.0090798682348688,-0.0612535982134537,0.0430938617437161,-0.380180083479441,0.710610486028234,0.0322871383174123,-0.0129673954166497,0.0775416720514744,1.52440658529003,0.148784356551867
"progm",0.0120360726805508,0.0042799726229586,-460291.293986729,0.0393706478521208,-0.0793486402193446,0.158089935923586,0.688971225040413,0.498261164328642,0.00927692502310428,-0.0926710091673902,0.111224859213599,0.189227882674587,0.851729575132941
"relig",0.00359392567494237,0.00215530278481224,-380521.094906917,-0.0376066577513234,-0.101436905062412,0.0262235895597652,-1.23840934486437,0.231581543141203,0.0507343761965751,-0.00492406783697562,0.106392820230126,1.89490622197796,0.0718689291055547
"negate",0.0112184465508248,0.00682451517948094,-439504.708882485,-0.128152649483992,-0.219947200642488,-0.036358098325495,-2.87532833885756,0.00813136560350825,0.0723482704362695,-0.00640173925200419,0.151098280124543,1.89084013354964,0.0701338959211505
"home",0.00195864267811888,0.00093801090823729,-381421.56559179,-0.0658068160868674,-0.121990796026902,-0.00962283614683268,-2.45384743286819,0.0241050373364344,0.0427606711825441,-0.00653525554324887,0.092056597908337,1.79406325049528,0.085914848040943
"see",0.00364609792385901,0.0021073996696058,-463883.586979817,-0.0279445998612668,-0.0914368705222358,0.0355476707997022,-0.923073490507022,0.367886987279681,0.00638551549297182,-0.0486481509613812,0.0614191819473249,0.241208804343089,0.811719010239455
"tensem",0.00650755370386323,0.00202178858445946,-417084.293727218,0.0370792032028675,-0.0568314471694085,0.130989853575144,0.823865736000996,0.419778871892932,0.00486872556644289,-0.0756914092500219,0.0854288603829077,0.126005412872351,0.900976195440109
"certain",0.00463599271011578,0.00380855755720568,-491894.690484187,-0.0409739308011843,-0.0901955898141856,0.00824772821181694,-1.72949266682522,0.0981644369792429,0.0315863731976663,-0.0114294832180616,0.0746022296133941,1.50964399205423,0.143237435402949
"cogmech",0.00553429955819032,0.00349101299397567,-277761.354630698,-0.0972329104405008,-0.164485868678955,-0.0299799522020462,-2.97126153366622,0.00629418399410441,0.0675130494131866,0.00959324162487751,0.125432857201496,2.38660535565931,0.0239283142396762
"health",0.0024453151048884,0.0013246585346561,-434626.863043494,-0.0633961089982967,-0.119385484256347,-0.00740673374024599,-2.40445356148978,0.0289479138894579,0.0382110640600888,-0.0103545108963362,0.0867766390165138,1.65090580724952,0.115793481117242
"friend",0.00113753510810415,0.000369864634427794,-288717.146994053,-0.0490403829103278,-0.107033433063016,0.00895266724235995,-1.78963623859314,0.0920636849346696,0.0453840496461016,-0.00623503821759579,0.097003137509799,1.82034716677432,0.0819472329286065
"number",0.0044349616341352,0.00155134550130587,-264438.122234918,-0.0722138150664008,-0.15909055651356,0.0146629263807587,-1.73462644403907,0.0982941611361964,0.0369547593526597,-0.0382959990502328,0.112205517755552,1.01644763673481,0.320093110427961
"pastm",0.00103765726428866,0.000510322853928003,-424491.494333447,-0.0359580700255256,-0.0851125257312993,0.0131963856802482,-1.61764955829158,0.135095450914937,0.0375262187480044,-0.005643916313552,0.0806963538095608,1.85848870209873,0.0835320135228687
"multifun",0.00531691870298246,0.00201571130722817,-348204.215035541,-0.0797054282007091,-0.161446989257933,0.00203613285651468,-2.01235974846744,0.0555205549717856,0.0409024512916855,-0.0292569503274456,0.111061852910817,1.20096484166016,0.241069178390525
