County,Province,Weibo_MF_Ratio,Pop_MF_Ratio,post_strat_factor
Wuhu,Anhui,0.74,0.986,0.7505070993914807
Bengbu,Anhui,0.74,0.986,0.7505070993914807
Hefei,Anhui,0.74,0.986,0.7505070993914807
Huangshan,Anhui,0.74,0.986,0.7505070993914807
Bozhou,Anhui,0.74,0.986,0.7505070993914807
Fuyang,Anhui,0.74,0.986,0.7505070993914807
Xuancheng,Anhui,0.74,0.986,0.7505070993914807
Anqing,Anhui,0.74,0.986,0.7505070993914807
LuAn,Anhui,0.74,0.986,0.7505070993914807
Suuzhou,Anhui,0.74,0.986,0.7505070993914807
Tongling,Anhui,0.74,0.986,0.7505070993914807
Huaibei,Anhui,0.74,0.986,0.7505070993914807
MaAnshan,Anhui,0.74,0.986,0.7505070993914807
Chuzhou,Anhui,0.74,0.986,0.7505070993914807
Huainan,Anhui,0.74,0.986,0.7505070993914807
Chizhou,Anhui,0.74,0.986,0.7505070993914807
Beijing,Beijing,0.8626,1.0224,0.843701095461659
Chongqing,Chongqing,0.7903,1.0588,0.7464110313562524
Nanping,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Putian,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Quanzhou,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Fuzhou,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Sanming,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Xiamen,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Longyan,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Zhangzhou,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Ningde,Fujian,0.8949,1.0856000000000001,0.8243367722918202
Pingliang,Gansu,0.7441,1.0759999999999998,0.691542750929368
Hezuo,Gansu,0.7441,1.0759999999999998,0.691542750929368
Tianshui,Gansu,0.7441,1.0759999999999998,0.691542750929368
Wuwei,Gansu,0.7441,1.0759999999999998,0.691542750929368
Lanzhou,Gansu,0.7441,1.0759999999999998,0.691542750929368
Zhangye,Gansu,0.7441,1.0759999999999998,0.691542750929368
Jiayuguan,Gansu,0.7441,1.0759999999999998,0.691542750929368
Baiyin,Gansu,0.7441,1.0759999999999998,0.691542750929368
Qingyang,Gansu,0.7441,1.0759999999999998,0.691542750929368
Jiuquan,Gansu,0.7441,1.0759999999999998,0.691542750929368
Longnan,Gansu,0.7441,1.0759999999999998,0.691542750929368
Shantou,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Foshan,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Guangzhou,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Jiangmen,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Zhanjiang,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Qingyuan,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Shenzhen,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Zhaoqing,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Dongguan,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Huizhou,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Chaozhou,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Yangjiang,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Jieyang,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Maoming,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Zhongshan,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Zhuhai,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Shanwei,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Shaoguan,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Meizhou,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Yunfu,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Heyuan,Guangdong,0.9355,1.1862000000000001,0.7886528410048895
Nanning,Guangxi,0.5651,1.0836,0.5215023994093761
Liuzhou,Guangxi,0.5651,1.0836,0.5215023994093761
Guilin,Guangxi,0.5651,1.0836,0.5215023994093761
